Word_Count,Number_of_Sentence,Unique_Words,Average_Word_Length,Label
16,4,25,3.249414651,1
36,9,24,3.742886645,1
32,8,23,6.207498526,1
44,9,15,5.844321637,1
32,8,18,3.117333257,1
20,5,24,3.632504524,1
32,8,20,3.067207143,1
36,9,15,4.34499088,1
28,7,15,5.147187335,1
36,9,24,4.413465555,1
32,8,21,3.67142629,1
16,4,18,4.161683136,1
44,9,25,5.127847748,1
24,4,24,4.522015254,1
24,4,19,5.751840406,1
24,5,18,4.310802317,1
24,9,17,4.049545313,1
24,5,22,3.55697447,1
24,8,17,4.911807016,1
24,6,19,6.293981297,1
25,4,16,4.682104698,1
44,9,18,6.555941386,1
25,7,18,5.828253138,1
25,8,19,3.316126779,1
25,8,15,6.948016964,1
25,4,17,6.290270746,1
25,9,16,3.38331288,1
25,7,22,3.748578824,1
25,6,22,5.330003728,1
25,5,24,5.499903973,1
26,5,18,4.529374324,1
39,9,23,6.789782809,1
26,8,21,6.350935852,1
26,7,17,6.085442638,1
40,9,17,5.644472065,1
41,9,16,4.98437388,1
26,6,17,3.956361881,1
26,4,15,5.222642972,1
41,9,19,3.479059591,1
27,6,24,3.979906714,1
27,4,22,4.011849059,1
41,9,23,6.064879277,1
27,8,19,4.757509107,1
27,6,19,3.496683948,1
16,4,17,3.289392662,1
32,8,23,3.510268223,1
41,9,19,5.508311344,1
28,7,17,3.626720475,1
36,9,22,4.353003524,1
42,9,21,4.306934799,1
20,5,19,4.606716837,1
24,6,25,6.801852508,1
36,9,23,5.388950156,1
36,9,21,3.242235876,1
16,4,23,5.563386506,1
24,6,15,5.953487399,1
20,5,20,6.634109199,1
36,9,15,3.294835707,1
32,8,16,3.696877913,1
32,8,20,6.298410409,1
36,9,18,5.94428539,1
42,9,22,3.484406314,1
42,9,19,5.103587066,1
36,9,16,4.204061932,1
20,5,25,6.387320964,1
44,9,19,6.161436102,1
28,8,19,5.839620483,1
28,8,25,4.026734572,1
44,9,21,3.141928584,1
28,8,21,4.360977913,1
46,9,20,5.921718994,1
28,9,23,6.149418696,1
28,6,21,6.342193101,1
28,6,17,6.640164304,1
28,5,16,5.629154934,1
28,5,17,6.354979644,1
28,8,24,6.270151671,1
29,9,23,3.075014755,1
29,8,25,3.365941247,1
29,8,23,5.799407801,1
29,6,24,3.378120142,1
47,9,21,6.206662377,1
49,9,15,6.42216742,1
50,9,20,3.288140887,1
30,9,18,6.526482782,1
30,8,18,4.021743962,1
30,8,22,4.671511309,1
30,8,21,5.030061013,1
30,6,22,6.655177053,1
30,7,16,4.823107761,1
30,7,22,6.143185527,1
30,9,20,5.426846967,1
50,9,17,6.886494031,1
30,6,23,5.3817257,1
54,9,24,4.500184639,1
30,4,16,6.191780097,1
30,5,19,3.773541009,1
30,6,24,6.366266772,1
30,9,24,4.03096758,1
31,7,20,3.921345803,1
31,7,16,3.049623759,1
31,4,17,6.771847348,1
31,8,17,4.422658864,1
31,7,18,3.188543732,1
31,8,16,3.567280452,1
31,9,20,4.359860953,1
31,4,15,3.771788669,1
28,7,24,6.437587517,1
36,9,20,6.906749637,1
32,8,25,5.318211394,1
36,9,21,5.539026782,1
28,7,15,3.693425785,1
32,8,17,3.357883146,1
32,8,19,4.227391963,1
36,9,22,3.936903654,1
16,4,18,5.458710545,1
32,8,23,6.68071214,1
32,8,20,3.644226261,1
36,9,15,4.725294743,1
20,5,21,5.470961718,1
32,8,15,6.084321464,1
56,9,25,4.36713151,1
56,9,25,4.909272794,1
56,9,18,3.153990271,1
32,8,21,6.911063363,1
32,7,23,4.833660672,1
32,9,25,5.619749279,1
32,9,15,4.518409443,1
32,4,24,5.318969108,1
32,6,17,6.054604509,1
32,6,19,4.566075192,1
32,4,21,6.154759858,1
58,9,16,4.541032193,1
32,5,20,5.734371154,1
32,5,20,5.436252766,1
32,4,19,4.204660507,1
32,4,18,6.314495612,1
33,9,25,4.161577826,1
33,9,20,3.792353528,1
33,5,18,3.984637922,1
33,5,22,4.933346684,1
33,8,17,4.619412682,1
33,6,23,4.104736681,1
33,6,25,4.750321648,1
33,6,24,5.269843884,1
33,9,16,4.009726229,1
33,5,21,3.915526363,1
33,4,23,3.839259942,1
33,4,24,5.911287191,1
33,4,20,3.634120326,1
59,9,19,6.513037122,1
34,7,24,3.05299214,1
34,5,15,5.962398419,1
34,6,21,3.146563942,1
59,9,23,4.742995464,1
34,6,18,6.198858433,1
34,9,18,6.394409839,1
34,8,22,4.519813508,1
34,5,17,6.799752592,1
34,7,25,3.503856015,1
35,8,16,3.659907205,1
35,4,19,6.378608376,1
35,6,24,6.609791822,1
35,9,25,6.396971828,1
35,4,21,4.799500976,1
35,9,17,3.45053473,1
35,5,21,3.671416437,1
35,7,21,4.637227911,1
35,6,24,4.605703963,1
36,9,21,6.937378963,1
20,5,24,4.371582493,1
36,9,21,3.750766871,1
59,9,22,6.868451194,1
60,9,21,6.700164995,1
16,4,18,3.110015237,1
16,4,23,3.013440486,1
20,5,15,3.905710792,1
28,7,23,6.16538814,1
24,6,19,5.743070406,1
36,6,25,6.999798916,1
64,9,19,5.403791624,1
36,7,24,4.149821789,1
36,8,19,3.099576162,1
36,8,19,5.773475902,1
66,9,16,6.470633506,1
36,9,19,6.054025325,1
36,4,23,6.363803757,1
36,7,23,3.998245299,1
36,9,21,4.400280921,1
36,6,22,4.966199674,1
36,5,15,4.281008936,1
67,9,17,4.113342697,1
36,5,21,5.58128904,1
36,5,21,5.075231469,1
36,9,19,3.717461429,1
36,7,16,4.481693968,1
36,4,16,4.526169918,1
37,7,20,3.868537275,1
37,7,20,6.923470588,1
67,9,22,5.516592204,1
37,9,15,3.771641018,1
37,5,25,3.855903085,1
37,7,20,5.009899996,1
37,8,18,3.952618536,1
37,5,22,3.847978151,1
37,5,22,6.674330324,1
37,8,19,6.236702761,1
37,4,15,6.478340241,1
38,6,24,4.660581959,1
67,9,17,5.060939724,1
38,6,15,4.905264613,1
38,8,22,5.619186319,1
68,9,19,3.362599018,1
38,7,23,4.350750084,1
38,5,17,5.506779874,1
38,8,15,5.939130574,1
69,9,18,5.098524755,1
38,7,17,6.035863367,1
38,6,19,6.320377344,1
38,4,22,3.802688847,1
38,4,20,4.170854648,1
38,4,20,5.924878788,1
39,9,15,4.284894963,1
70,9,19,3.162975292,1
39,7,18,4.378432044,1
39,8,20,4.701900678,1
77,6,18,5.732778306,1
39,5,23,5.131966937,1
39,8,15,5.273575429,1
39,4,23,6.187065532,1
82,9,17,5.868610405,1
39,7,22,6.48651983,1
39,8,15,6.335705724,1
39,5,25,4.390810122,1
39,5,15,4.436629438,1
39,4,19,3.862169834,1
40,10,17,5.908209958,1
40,10,15,4.767088008,1
40,10,19,5.423558822,1
40,10,16,3.207831661,1
40,10,18,6.786222512,1
40,10,19,5.994614049,1
40,10,20,6.376012989,1
40,10,23,4.295418198,1
40,10,22,6.095038852,1
40,10,18,4.117254617,1
40,10,18,6.004561026,1
40,10,22,6.017477834,1
40,10,18,5.148620693,1
40,10,15,3.014691247,1
40,10,18,4.654430032,1
40,10,25,3.406431635,1
40,10,22,3.493486458,1
40,10,21,4.740623826,1
40,10,17,6.413978495,1
40,10,18,3.127059129,1
40,10,16,6.694603122,1
40,10,20,4.804480328,1
40,10,24,5.980406511,1
40,10,22,3.530301078,1
40,10,22,3.220046035,1
40,10,16,3.900400248,1
40,10,16,5.935263969,1
40,10,22,5.089809426,1
40,10,18,5.077223903,1
40,10,18,4.756024403,1
40,10,17,5.890071899,1
40,10,15,3.592261161,1
40,10,25,6.477883999,1
40,10,15,4.771487896,1
40,10,23,4.258359589,1
40,10,17,3.620494952,1
40,10,24,5.558662287,1
40,10,18,4.390440513,1
40,10,23,6.625014271,1
40,10,20,3.633137987,1
40,10,15,5.758116879,1
40,10,22,3.767523889,1
40,10,16,3.929594019,1
40,10,19,4.862839461,1
40,10,18,5.043566082,1
40,10,21,3.5643515,1
40,10,17,3.858138047,1
40,10,21,4.471052737,1
40,10,17,3.653275545,1
40,10,15,4.455210804,1
40,10,19,4.622719957,1
40,10,23,6.874308725,1
40,10,15,4.777541032,1
40,10,19,6.267457795,1
40,10,18,6.805336887,1
40,10,20,3.078909374,1
40,10,24,5.598380897,1
40,10,16,3.448761465,1
40,10,16,4.638861141,1
40,10,18,6.731319552,1
40,10,24,5.981974644,1
40,10,25,6.108704965,1
40,10,21,6.696842065,1
40,10,22,4.204937963,1
40,10,20,5.077063166,1
40,10,15,5.875922909,1
40,10,23,5.508431346,1
40,10,19,4.814280901,1
82,9,18,4.239496208,1
40,8,22,3.28663125,1
40,8,21,5.731310278,1
40,6,22,4.438487101,1
40,4,18,4.28319659,1
40,4,18,4.12180285,1
40,7,17,3.085382307,1
40,4,20,4.085031681,1
82,9,18,3.359470644,1
86,4,15,3.9680602,1
87,9,21,3.362805308,1
92,9,21,4.648988612,1
41,7,21,5.846071613,1
41,7,24,5.375601604,1
41,7,17,6.979515628,1
92,7,24,5.94755444,1
41,6,24,4.05763354,1
41,6,17,3.165158182,1
41,6,25,5.280506927,1
41,5,17,4.808126001,1
41,8,23,3.825764139,1
41,4,24,6.355842069,1
41,4,15,6.504609517,1
98,9,19,5.009051733,1
98,9,23,6.602843065,1
36,9,25,3.222269829,1
41,4,17,3.424906974,1
42,5,15,6.185602658,1
19,5,23,5.648651388,1
42,4,18,4.162933785,1
42,9,15,4.524660166,1
42,7,22,6.001523349,1
42,9,16,6.773012552,1
42,6,24,5.936213749,1
42,5,24,5.415159421,1
36,9,15,3.69781682,1
42,4,19,6.110595293,1
43,8,17,6.5672186,1
43,8,20,4.833162401,1
43,4,24,3.288430843,1
43,4,17,4.653900879,1
43,7,18,3.190141952,1
43,8,25,4.443396363,1
44,11,23,3.405824767,1
44,11,23,4.563116821,1
44,11,21,4.289010528,1
44,11,21,4.026649931,1
44,11,15,5.185978525,1
44,11,16,3.682035432,1
44,11,20,5.971069931,1
44,11,16,6.707991886,1
44,11,25,5.504578074,1
44,11,21,3.178069661,1
44,11,16,3.867959277,1
44,11,19,3.10635754,1
44,11,17,6.061915097,1
44,11,22,5.105320997,1
44,11,22,4.909134633,1
44,11,23,5.244514889,1
44,11,17,4.867554713,1
44,11,21,3.551126503,1
44,11,20,6.987941769,1
44,11,22,6.612322986,1
44,11,23,5.60299998,1
44,11,25,6.639611795,1
44,11,18,3.095364644,1
44,11,22,6.473760363,1
44,11,24,4.949166943,1
44,11,25,6.021470801,1
44,11,24,6.243233145,1
44,11,20,3.163981266,1
44,11,23,3.835502544,1
44,11,21,5.298925981,1
44,11,19,5.17520992,1
44,11,22,5.863471147,1
44,11,15,4.299631977,1
44,11,18,4.537799757,1
44,11,24,6.488925611,1
44,11,21,5.280089291,1
44,11,24,6.29607855,1
44,11,18,5.119325814,1
44,11,18,4.590160684,1
44,11,17,5.346631322,1
44,11,23,5.179075868,1
44,11,21,4.344312433,1
44,11,23,4.512468985,1
44,11,19,5.481239862,1
44,11,18,3.252306621,1
44,11,15,4.198694229,1
44,11,17,5.052500085,1
44,11,24,3.789225492,1
44,11,17,6.661744382,1
44,11,21,4.351080208,1
44,11,19,6.864257389,1
44,11,21,6.615470288,1
44,11,20,5.938264148,1
44,11,15,3.897036232,1
44,11,19,6.817997224,1
44,11,22,4.104446501,1
44,11,20,5.067726279,1
44,11,21,5.90860055,1
44,11,22,3.630946818,1
44,11,22,5.095962501,1
44,11,17,3.957744443,1
44,11,20,3.618892621,1
44,11,21,5.364836112,1
44,11,15,5.140767385,1
44,11,20,4.349158119,1
44,11,16,6.438644357,1
44,11,16,4.00336767,1
44,5,24,5.318877505,1
28,7,22,3.434870346,1
29,8,17,3.495281755,1
44,6,15,6.768830451,1
44,8,20,6.992967096,1
44,6,15,3.328005355,1
44,8,22,5.28907603,1
44,4,19,6.372518665,1
44,7,24,6.118032444,1
44,7,23,4.7931548,1
46,6,15,4.791117245,1
20,8,22,4.938433487,1
44,6,16,3.516586721,1
44,6,18,4.653405717,1
44,7,17,4.928010677,1
44,4,25,3.421036522,1
30,6,15,3.757219564,1
89,7,24,5.330388459,1
45,7,22,6.714820358,1
45,8,19,4.452122203,1
45,7,18,3.070502501,1
45,7,21,6.757055414,1
45,7,18,3.115867206,1
45,9,23,3.1158846,1
45,4,25,4.670034931,1
45,8,22,5.631632714,1
45,6,18,5.636296342,1
45,5,21,3.279236987,1
45,4,25,4.919492337,1
45,4,17,3.153874511,1
45,4,18,4.310065389,1
28,7,19,6.42123516,1
46,4,20,5.714602155,1
46,8,20,6.202281373,1
46,8,19,4.822871218,1
46,7,21,4.414158568,1
46,7,16,3.285464719,1
46,6,20,4.125477605,1
46,6,23,4.056997603,1
46,6,19,5.574612453,1
32,7,24,3.503018625,1
38,6,18,3.780922456,1
46,4,24,3.038127384,1
58,7,15,5.626855484,1
63,9,22,4.017402855,1
47,4,17,4.341337307,1
47,8,21,5.222477801,1
10,9,24,6.964614016,1
47,7,20,3.281653233,1
47,8,22,6.668898693,1
47,5,18,5.926925882,1
47,6,21,4.224498636,1
47,5,20,4.199231043,1
47,7,24,6.589986491,1
47,5,25,6.087151756,1
47,4,18,4.208351269,1
47,4,19,6.496213895,1
48,12,15,3.443948234,1
48,12,21,3.293845645,1
48,12,17,3.11460092,1
48,12,16,4.722635383,1
48,12,25,4.827412971,1
48,12,25,3.172079514,1
48,12,22,4.520856543,1
48,12,20,5.617055327,1
48,12,22,5.708595073,1
48,12,17,5.335664957,1
48,12,23,4.682425832,1
48,12,23,4.385819145,1
48,12,21,6.677403321,1
48,12,15,6.392637314,1
48,12,24,6.262491985,1
48,12,17,3.947672757,1
48,12,16,3.06989983,1
48,12,25,3.988863725,1
48,12,21,4.056266955,1
48,12,25,6.350739348,1
48,12,20,6.229759282,1
48,12,19,6.840051361,1
48,12,22,6.291304923,1
48,12,20,3.042625997,1
48,12,25,6.844693876,1
48,12,16,3.427152083,1
48,12,22,5.729342978,1
48,12,25,4.468163749,1
48,12,18,5.413422648,1
48,12,24,4.48935896,1
48,12,23,3.553244298,1
48,12,24,6.072723554,1
48,12,24,5.155488216,1
48,12,24,5.088120249,1
48,12,19,3.753570603,1
48,12,15,4.841100409,1
48,12,17,4.499806071,1
48,12,22,3.065478523,1
48,12,18,6.288563628,1
48,12,22,4.579669435,1
48,12,21,6.688194936,1
48,12,18,6.288563427,1
48,12,16,5.254260467,1
48,12,16,3.512250706,1
48,12,23,5.428489775,1
48,12,15,3.824976113,1
48,12,18,3.89720754,1
48,12,17,3.344907337,1
48,12,19,5.857355084,1
48,12,16,4.276071384,1
48,12,16,3.959466869,1
48,12,18,5.458563116,1
68,12,41,4.95342139,0
48,12,19,5.386728377,1
38,15,14,6.827595349,0
48,12,17,6.056631609,1
87,9,50,6.764626046,0
57,8,28,5.863635189,0
37,4,47,4.243330639,0
48,12,17,3.225379621,1
48,12,19,3.265986853,1
48,12,23,4.959082968,1
23,15,28,6.926066511,0
24,8,8,5.35817486,0
80,10,11,5.992746885,0
48,15,14,4.086678852,0
29,11,9,3.845323952,0
48,12,22,4.907135946,1
99,7,16,3.55293232,0
86,5,21,3.49249896,0
48,14,21,5.681302784,0
33,7,41,6.489743522,0
48,12,20,4.534990812,1
48,12,20,4.648665845,1
97,13,40,5.957833784,0
48,12,16,6.435330242,1
45,11,8,6.262530553,0
92,15,7,5.091431942,0
48,12,21,6.541596432,1
78,10,48,3.906603275,0
52,8,5,4.926880335,0
83,15,6,5.936632155,0
68,14,16,4.025103217,0
48,12,22,5.60834753,1
48,12,20,6.582421129,1
75,7,13,5.578494652,0
56,14,48,5.057629786,0
89,9,38,3.124384365,0
48,12,20,5.978395354,1
46,15,45,4.99253011,0
12,13,50,6.089488599,0
36,10,25,5.654417088,0
33,11,48,6.070644576,0
75,7,50,3.594430786,0
48,9,27,5.579114454,0
49,4,25,3.15055208,0
29,14,25,3.333438284,0
12,6,43,5.360968883,0
14,12,45,4.977443656,0
46,4,25,3.810252254,0
98,6,50,5.973148859,0
42,6,43,3.894562473,0
63,10,22,3.988000584,0
70,12,31,4.887249332,0
48,12,16,3.477982027,1
92,10,20,6.813029474,0
13,11,13,6.071053268,0
46,15,45,6.890826837,0
48,12,19,4.304838157,1
48,12,24,4.902543106,1
99,11,45,6.995122111,0
58,8,31,5.199712236,0
59,14,14,4.290916023,0
48,12,19,5.576300701,1
28,15,46,5.254034058,0
50,13,8,6.182632858,0
82,5,38,4.828659283,0
99,9,9,4.24927092,0
55,4,48,5.999016811,0
48,12,22,6.760110893,1
77,7,39,3.868737279,0
86,14,42,4.031457454,0
14,4,12,5.389320981,0
56,12,17,4.481761617,0
26,4,36,5.233618201,0
48,12,22,3.227554677,1
20,10,32,6.705667761,0
41,9,40,4.196592072,0
24,4,45,6.047306578,0
86,11,32,5.615667121,0
44,12,19,4.573807494,0
17,8,19,3.61965293,0
53,9,13,3.023305622,0
48,12,21,6.293808691,1
60,5,39,3.278121003,0
48,12,20,3.778637862,1
14,9,37,4.530815262,0
48,12,18,3.389960272,1
93,4,47,6.300617083,0
86,5,46,6.241869985,0
48,12,18,6.060676568,1
96,10,19,3.898020912,0
97,14,27,3.836829237,0
30,7,22,5.479817569,0
16,13,7,4.147889325,0
14,11,30,5.964044404,0
35,11,18,6.548078975,0
48,12,16,5.525416358,1
48,12,24,3.684161755,1
48,12,16,5.117495334,1
48,12,23,3.469433494,1
97,8,14,4.814289774,0
99,14,5,5.395470001,0
99,15,8,6.531108324,0
52,14,28,5.075184971,0
86,11,46,3.237045595,0
62,7,39,6.088602067,0
48,12,21,3.091054144,1
22,6,43,6.836148328,0
89,5,47,3.827007335,0
93,9,49,6.024601801,0
89,7,29,6.900445148,0
74,5,22,3.329619547,0
67,5,21,4.028163882,0
22,5,44,5.866573812,0
11,9,45,6.494348619,0
61,15,17,4.460185701,0
19,10,27,4.521521845,0
78,14,16,4.310999034,0
24,12,49,4.45880289,0
48,12,24,4.024304453,1
73,8,35,6.290187905,0
41,5,37,6.596955414,0
77,10,12,4.517001657,0
48,12,17,3.988190449,1
52,7,5,5.702224938,0
39,7,14,5.318301067,0
48,12,25,3.097452662,1
48,12,19,5.787354369,1
32,12,35,5.327913799,0
47,8,35,5.181105796,0
73,4,27,3.725645355,0
48,12,25,3.378670166,1
48,9,15,4.890371944,1
97,7,32,5.066734626,0
64,9,30,5.696708678,0
45,12,7,3.790486502,0
76,10,43,6.24034327,0
48,8,17,4.105865528,1
56,5,17,4.802215938,0
41,5,8,4.295942532,0
82,6,50,6.158680393,0
45,10,50,4.975664884,0
48,6,16,4.053924591,1
46,11,19,4.443434495,0
90,12,34,4.479064836,0
91,14,44,6.369296177,0
48,5,18,4.586627172,1
96,12,23,4.002049728,0
45,5,44,4.080551492,0
48,5,21,5.829585907,1
97,8,11,5.410673484,0
42,9,38,6.471105827,0
57,6,30,3.445531702,0
34,6,41,5.861149179,0
48,6,24,3.330067349,1
67,14,20,5.583678753,0
29,15,47,5.75995072,0
63,4,23,5.990948208,0
26,4,41,3.774987867,0
32,10,13,3.526916474,0
40,14,47,3.191928153,0
46,4,9,5.962270574,0
24,4,13,4.457966189,0
19,6,27,6.978179159,0
61,6,31,5.796236381,0
32,15,6,3.143657143,0
80,13,22,4.446632444,0
94,13,15,5.490904801,0
18,7,22,5.018333148,1
36,4,45,5.101937363,0
89,15,32,6.741397997,0
49,8,20,5.360036206,1
37,5,23,4.742172076,0
49,8,15,6.103762048,1
88,9,23,5.222503209,0
49,6,17,3.348459534,1
53,14,19,4.412421826,0
82,6,42,4.398756874,0
49,7,19,6.07419454,1
75,5,29,4.366256662,0
49,7,22,3.629565238,1
39,6,19,3.414710608,0
49,7,23,5.835476022,1
65,8,12,6.795061801,0
27,9,43,3.819900169,0
100,13,20,5.85805019,0
24,14,15,3.228618657,0
56,14,48,4.318918038,0
49,5,22,5.436725433,1
79,9,23,4.459123769,0
78,13,18,5.72883289,0
34,8,10,5.924367747,0
22,8,22,4.509706593,0
55,8,11,3.250198851,0
20,13,44,6.97322955,0
49,4,21,3.142350699,1
49,5,16,5.130589793,1
93,13,26,5.645313848,0
27,8,34,4.835502816,0
49,4,15,4.546519266,1
39,6,25,4.124001238,0
30,9,21,4.146121647,1
44,7,19,5.171514882,1
20,14,12,6.160671927,0
43,8,18,3.693259802,0
86,4,29,5.537019591,0
74,13,12,6.038265201,0
50,7,22,5.130099945,1
65,11,48,6.234872506,0
95,8,13,6.186032497,0
54,8,6,5.864184744,0
50,8,18,6.868235074,1
73,15,18,3.139438783,0
88,10,46,5.085928113,0
39,10,8,4.565937012,0
98,15,38,6.991440787,0
38,9,26,3.58628379,0
19,15,5,5.907333122,0
18,13,39,4.358812081,0
92,10,41,4.014104259,0
60,8,5,3.426226424,0
43,7,38,6.70052718,0
37,15,12,4.774870035,0
55,4,16,6.719349033,0
50,4,18,4.228724368,1
12,12,19,6.253884537,0
46,15,39,4.194470035,0
92,13,47,4.770223268,0
57,6,42,4.099377977,0
84,8,35,3.695073723,0
58,15,21,3.826678227,0
78,8,19,5.439082279,0
85,15,26,5.76714424,0
74,6,48,4.662743524,0
84,4,7,6.219526051,0
70,5,20,3.227547999,0
72,14,23,5.375553781,0
32,12,26,4.602060866,0
57,7,7,5.147251363,0
54,7,38,3.135992266,0
50,8,16,4.279860536,1
50,4,25,6.089619735,1
82,9,12,4.294076826,0
26,10,10,6.376546116,0
27,14,50,6.921124525,0
13,7,24,4.448151229,0
89,14,11,5.605991106,0
50,5,17,5.559171383,1
59,11,40,3.189290421,0
76,12,19,4.241341706,0
38,10,31,5.066139951,0
88,9,18,3.441708021,0
57,4,48,4.562478483,0
59,5,44,5.35829188,0
72,7,50,3.666799267,0
80,10,28,6.091346626,0
44,15,48,5.752042342,0
93,9,6,4.879035112,0
84,6,30,6.727588503,0
50,7,19,3.546689873,1
31,7,49,5.558271104,0
56,5,20,4.465995986,0
99,13,17,4.559183487,0
30,4,33,6.584076247,0
94,12,5,3.701553654,0
50,6,20,5.741541754,1
18,15,21,6.389057113,0
51,5,16,4.106246709,1
70,12,21,6.723734853,0
49,15,35,6.513241523,0
79,6,22,4.343030586,0
57,15,44,4.024019879,0
13,13,44,6.468621314,0
